driverId,week,hours-logged,miles-logged
708,14,53,3400
604,12,67,2700
53,39,79,2600
180,13,56,1800
892,6,74,1400
754,26,73,3700
978,45,64,2400
82,7,51,1600
249,18,66,2200
779,29,72,2300
173,38,65,2700
82,8,56,2400
945,39,76,2900
809,18,51,3800
743,5,66,1600
560,29,59,100
203,3,71,3200
1002,28,70,2000
60,13,67,1600
675,39,70,1600
1009,27,59,900
735,38,51,3700
688,15,66,2500
142,30,64,3100
447,25,51,3900
951,3,74,1800
547,16,79,1700
554,35,76,2600
972,16,78,1600
289,47,57,2400
646,52,58,600
285,46,58,1800
260,42,80,2800
823,14,70,800
854,45,62,600
245,46,76,2100
716,13,61,2500
751,25,75,3700
66,37,63,0
820,23,54,1800
922,38,51,4000
411,44,65,200
779,22,79,3900
181,16,62,1500
435,51,78,1700
767,6,61,2700
500,21,65,3200
337,13,57,1700
436,20,58,1200
203,30,79,600
867,32,66,1800
804,28,60,2000
30,29,70,1600
786,40,54,900
754,9,55,2700
635,6,77,3500
991,5,59,1400
480,30,52,3300
72,21,57,2000
163,2,55,4000
733,21,74,300
148,19,69,300
159,21,55,1200
580,46,73,300
195,43,78,800
200,40,65,2100
403,20,75,1300
443,47,71,2200
389,33,69,3900
436,29,65,1900
986,20,79,3000
783,17,55,1200
96,11,57,2300
443,41,71,200
468,3,63,1400
285,16,63,700
978,12,74,200
953,26,75,3300
859,24,73,2600
314,4,72,1700
526,36,57,2600
619,9,68,4000
384,22,65,2300
433,9,58,3800
109,1,78,0
681,31,69,4000
26,49,79,900
31,34,54,2200
951,47,59,2100
860,19,67,1300
430,32,76,3000
908,14,79,1000
236,24,72,700
610,4,68,1500
734,34,76,2100
629,27,64,1800
295,41,80,800
20,6,72,1000
901,24,60,2200
187,34,50,2600
28,39,57,100
844,42,67,1600
543,20,52,1800
252,28,60,3300
950,39,61,3300
348,7,75,3700
603,6,69,1900
606,30,55,400
676,35,53,1400
273,33,68,3600
840,13,73,2700
816,28,71,1300
535,22,61,700
909,43,66,1100
601,48,76,3600
62,27,60,3900
260,32,69,3300
452,47,64,600
215,44,63,3000
842,26,74,3700
484,19,79,2100
964,8,69,2700
490,29,78,3800
101,40,59,2000
969,29,73,1600
883,30,61,2600
477,37,56,1100
629,51,72,1400
593,20,74,2500
679,44,73,3600
660,40,76,2600
403,4,66,3900
612,39,59,4000
310,52,53,800
201,27,78,2700
320,32,67,2300
